,Place,lat,long
0,"Kakkanad, Ernakulam",10.01657,76.34275
1,"Whitefield, Bangalore",12.9696365,77.7497448
2,"Mathikere - BEL, Bangalore",0.0,0.0
3,"Bannerghatta Road, Bangalore",12.9205798,77.6001864
4,"Keelkattalai, Chennai",0.0,0.0
5,"Porur, Chennai",13.0320131,80.158304
6,"Karol Bagh, Delhi",28.6529982,77.1890227
7,"Arekere, Bangalore",12.87847015,77.6041791138253
8,"Old City, Hyderabad",17.3616079,78.4746286
9,"Athani, Ernakulam",10.1523857,76.3552674
10,"Thousand Lights, Chennai",13.0587829,80.2557114
11,"Somajiguda, Hyderabad",17.4255053,78.4585197
12,"Coimbatore Racecourse, Coimbatore",0.0,0.0
13,"Jubilee Hills, Hyderabad",17.4308362,78.4102882
14,"Kondli, Delhi",28.6070816,77.3243319363118
15,"Saroor Nagar, Hyderabad",17.3564017,78.5318948
16,"Tambaram West, Chennai",12.9299028,80.1118231
17,"Purasawakkam, Chennai",0.0,0.0
18,"KPHB, Hyderabad",17.4940793,78.4008221
19,"HSR Layout, Bangalore",12.9116225,77.6388622
20,"Pollachi, Coimbatore",10.6588234,77.00873
21,"Vasundhra Enclave, Delhi",0.0,0.0
22,"Chembur, Mumbai",19.0612128,72.8975909
23,"Thammanam, Ernakulam",9.9832859,76.2933452
24,"Andheri, Mumbai",19.1203713,72.8480431
25,"Pattom, Thiruvananthapuram",8.5186757,76.9421447
26,"Kukatpally, Hyderabad",17.4930841,78.4054408
27,"Vadavalli, Coimbatore",11.0253387,76.9051251
28,"Defence Colony, Delhi",28.5717909,77.2320102
29,"Banjara Hills, Hyderabad",17.4177464,78.4399014
30,"Sion West, Mumbai",19.0476819,72.8595651
31,"CR Park, Delhi",28.6517178,77.2219388
32,"Mogappair East, Chennai",13.0835142,80.1840779
33,"IP Extension, Delhi",28.6288991,77.3101995819454
34,"Safdarjung Enclave, Delhi",28.5656419,77.1934382
35,"New Friends Colony, Delhi",28.5671008,77.2697643
36,"Borivali West, Mumbai",19.2294561,72.8479905
37,"Saket, Delhi",28.5244107,77.2137253
38,"Malad, Mumbai",19.1846771,72.8358068
39,"Hyder Nagar, Hyderabad",0.0,0.0
40,"Dahisar West, Mumbai",19.2483914,72.8525146
41,"RT Nagar, Bangalore",13.0227204,77.595715
42,"Powai, Mumbai",19.1187195,72.9073476
43,"Basheerbagh, Hyderabad",17.4050023,78.4769104
44,"Musheerabad, Hyderabad",17.4146753,78.5068215
45,"AS Rao Nagar, Hyderabad",17.4798689,78.5509653
46,"Madhapur, Hyderabad",17.4408578,78.3916289
47,"Gandhinagar, Hyderabad",17.3616079,78.4746286
48,"Chetpet, Chennai",13.0717448,80.2437973
49,"Vileparle East, Mumbai",0.0,0.0
50,"Yelahanka New Town, Bangalore",13.0978039,77.5811889
51,"Kodambakkam, Chennai",13.049207,80.2242829
52,"Malleswaram, Bangalore",13.0163411,77.5586641823841
53,"Pallikaranai, Chennai",12.9304748,80.2077692
54,"Nallakunta, Hyderabad",17.3975005,78.50557
55,"Paschim Vihar, Delhi",28.6695782,77.095956
56,"Meera Bagh, Delhi",28.658844,77.0908475060524
57,"Chattarpur, Delhi",28.4971399,77.1812506
58,"Andheri West, Mumbai",19.1172495,72.833968
59,"Himayat Nagar, Hyderabad",17.4039678,78.483456
60,"Adambakkam, Chennai",12.9822215,80.209121
61,"Punjabi Bagh, Delhi",28.668945,77.1324614
62,"Mahalaxmi, Mumbai",18.9825159,72.8243136
63,"Kalina, Mumbai",19.079273,72.8612672
64,"Attapur, Hyderabad",17.3672244,78.4307278
65,"Lakdikapul, Hyderabad",17.4038328,78.4635019
66,"Ambattur, Chennai",13.1193746,80.1507648
67,"Ramnagar, Coimbatore",0.0,0.0
68,"Shalimar Bagh, Delhi",28.71745265,77.1508665461741
69,"Nungambakkam, Chennai",13.0620626,80.240487
70,"Miyapur, Hyderabad",17.4981608,78.3567628
71,"Sagarpur, Delhi",28.6091456,77.0995916
72,"Girgaon, Mumbai",18.9543165,72.8179082
73,"Jayanagar, Bangalore",12.9292731,77.5824229
74,"Palayam, Thiruvananthapuram",8.503034,76.9505646
75,"Munirka, Delhi",28.554886,77.1710841
76,"Tuglakabad, Delhi",28.5089676,77.2652186
77,"Moosarambagh, Hyderabad",17.3743532,78.5160835
78,"Anna Nagar East, Chennai",13.0852124,80.2258887
79,"Bandra West, Mumbai",19.0583358,72.8302669
80,"Kanakpura Road, Bangalore",12.88576665,77.5527529018764
81,"Green Park, Delhi",28.5580022,77.2068211
82,"Maduravoyal, Chennai",13.0601732,80.1665988
83,"Dahisar East, Mumbai",19.2486925,72.8640593
84,"Moosapet, Hyderabad",17.4685307,78.4206695
85,"Koramangala, Bangalore",13.2923988,77.7519261
86,"TV Medical College, Thiruvananthapuram",0.0,0.0
87,"Kadavanthra, Ernakulam",9.9597578,76.3017972988716
88,"Greams Road, Chennai",13.0610354,80.2544849
89,"Bommanahalli, Bangalore",13.3457317,77.4333346
90,"T Nagar, Chennai",13.0294483,80.2309064
91,"Yelahanka, Bangalore",13.1006982,77.5963454
92,"Hazrat Nizamuddin, Delhi",28.5887494,77.2572494
93,"Old Rajendra Nagar, Delhi",28.6517178,77.2219388
94,"Dadar West, Mumbai",19.0238887,72.8382236
95,"Indiranagar, Bangalore",12.9732913,77.6404672
96,"Perumbakkam, Chennai",12.9050095,80.1968629
97,"Shaikpet, Hyderabad",17.4057955,78.4006536
98,"Vyttila, Ernakulam",9.9625214,76.314712
99,"Khar West, Mumbai",19.0724575,72.8337068
100,"Goregaon West, Mumbai",19.1633281,72.8411995
101,"Bakkarwala, Delhi",28.6670651,77.0191817
102,"Nesapakkam, Chennai",13.0336193,80.1873092
103,"BTM Layout 2nd Stage, Bangalore",12.9140082,77.607945
104,"Ashok Nagar, Chennai",13.0400731,80.2159247
105,"Chandivali, Mumbai",19.1091482,72.8945793
106,"Uttam Nagar, Delhi",28.6248301,77.0652972
107,"Gujranwala Town, Delhi",0.0,0.0
108,"Greater Kailash Part 1, Delhi",0.0,0.0
109,"Panchsheel Park, Delhi",28.5433525,77.2140757
110,"Thoraipakkam, Chennai",12.9300691,80.2300221
111,"South Extension 2, Delhi",28.5668357,77.2200829
112,"Kandivali East, Mumbai",19.2102005,72.8648909
113,"Pitampura, Delhi",28.6995123,77.1301047
114,"Banashankari 3rd Stage, Bangalore",12.932708,77.5462535
115,"Kolenchery, Ernakulam",9.9796018,76.4730988
116,"Kumaraswamy Layout, Bangalore",12.9068169,77.5635247362134
117,"Vadapalani, Chennai",13.0509293,80.212045
118,"Manikonda, Hyderabad",17.4037073,78.3766148
119,"Gandhipuram, Coimbatore",11.0182714,76.9677744
120,"Yeshwanthpur, Bangalore",13.0214,77.5518295
121,"Ayanavaram, Chennai",13.0946157,80.23541
122,"Basaveshwaranagar, Bangalore",12.986475,77.5385709
123,"Malad West, Mumbai",19.1840129,72.8412155
124,"Vikas Puri, Delhi",28.6301441,77.0682683
125,"Kondapur, Hyderabad",17.4587912,78.3730556
126,"Andheri East, Mumbai",19.1158835,72.854202
127,"Sulur, Coimbatore",11.0268912,77.1258565
128,"Adyar, Chennai",13.00645,80.2577791
129,"Krishna Nagar, Delhi",28.5637017,77.1934097649498
130,"Langer House, Hyderabad",0.0,0.0
131,"Thiruvanmiyur, Chennai",12.9858948,80.2644215
132,"Dwarka, Delhi",28.6149318,77.0227861
133,"Bhandup West, Mumbai",19.1462636,72.9339461
134,"Janak Puri, Delhi",0.0,0.0
135,"Rajajinagar, Bangalore",12.9882338,77.554883
136,"South Extension 1, Delhi",28.5705664,77.2203844
137,"Kemps Corner, Mumbai",18.9637535,72.8068617
138,"Peelamedu, Coimbatore",11.0269577,76.9945813
139,"Kandivali West, Mumbai",19.2083801,72.842227
140,"Thevara, Ernakulam",9.9795081,76.2915816
141,"Wilson Garden, Bangalore",12.9489339,77.5968273
142,"Wadala, Mumbai",19.0269192,72.8759337
143,"Pahar Ganj, Delhi",28.6398522,77.2130306
144,"Chanchalguda, Hyderabad",17.3673732,78.4965799
145,"Chikkadpally, Hyderabad",17.400939,78.4976319
146,"Pasur-avanashi, Coimbatore",0.0,0.0
147,"Nagarbhavi, Bangalore",12.9651008,77.5078635
148,"Lajpat Nagar, Delhi",28.5706151,77.2361692
149,"Mayur Vihar Ph-I, Delhi",0.0,0.0
150,"Dilshad Garden, Delhi",28.6806819,77.3220645
151,"Vijayanagar, Bangalore",12.9718886,77.5457888388713
152,"Alwarpet, Chennai",13.0338602,80.2545491
153,"Pappanamcode, Thiruvananthapuram",8.4702287,76.9809946
154,"Aluva, Ernakulam",10.1078869,76.3525732
155,"Nariman Point, Mumbai",18.9259514,72.8232083
156,"Kilkattalai, Chennai",0.0,0.0
157,"Dilsukhnagar, Hyderabad",17.3684433,78.5228597
158,"Kurla West, Mumbai",19.0686026,72.876583
159,"Begumpet, Hyderabad",17.1117741,78.55407
160,"Kaloor, Ernakulam",9.9846385,76.7091779
161,"Hitech City, Hyderabad",17.4696885,78.3851526
162,"Goregaon East, Mumbai",19.1692623,72.8552548
163,"Velandipalayam, Coimbatore",0.0,0.0
164,"Ghatkopar East, Mumbai",19.0834898,72.9120255
165,"Mulund West, Mumbai",19.1719717,72.9511956
166,"Yousufguda, Hyderabad",17.4387499,78.4279866
167,"Ghatkopar West, Mumbai",19.0897194,72.9045972
168,"TVM Beach, Thiruvananthapuram",0.0,0.0
169,"Vanagaram, Chennai",13.0773049,80.1555408
170,"Worli, Mumbai",19.0116962,72.8180702
171,"Koramangala 1 Block, Bangalore",12.9274264,77.6310878067389
172,"Saki Vihar Road, Mumbai",19.1285901,72.8958916
173,"Versova, Mumbai",19.1309837,72.8187345
174,"CV Raman Nagar, Bangalore",0.0,0.0
175,"Secunderabad, Hyderabad",17.4690889,78.5059176
176,"BTM Layout 1st Stage, Bangalore",12.9190004,77.6112906
177,"Ramkoti, Hyderabad",0.0,0.0
178,"MRC Nagar, Chennai",13.0196693,80.2706525
179,"Malkajgiri, Hyderabad",17.4511764,78.5368997
180,"Gachibowli, Hyderabad",17.4436222,78.3519638
181,"Mogappair West, Chennai",13.08253515,80.1709174665887
182,"Mayur Vihar Ph-III, Delhi",0.0,0.0
183,"Kurla East, Mumbai",19.0628944,72.8825604
184,"Ashok Vihar, Delhi",28.6994533,77.1848256
185,"Mahim, Mumbai",19.0423145,72.8398344
186,"Villivakkam, Chennai",13.1125875,80.2081378
187,"Srinagar Colony, Hyderabad",17.509929,78.5036579
188,"Chromepet, Chennai",12.9496841,80.135642
189,"Pammal, Chennai",12.9737938,80.1408
190,"Banashankari, Bangalore",12.91538175,77.5736376995009
191,"Velachery, Chennai",12.98016545,80.2228505622558
192,"Chanakyapuri, Delhi",28.5946775,77.1885212
193,"Kalyan Nagar, Bangalore",13.0221416,77.6403368
194,"Oshiwara, Mumbai",19.1502437,72.8342294
195,"Karapakkam, Chennai",12.9117073,80.2277203
196,"Borivali, Mumbai",19.2287385,72.8568773
197,"Mylapore, Chennai",13.0316504,80.270099
198,"Electronics City, Bangalore",12.8468545,77.6769267
199,"Perungudi, Chennai",12.9710239,80.2418051
200,"Basavanagudi, Bangalore",12.9417261,77.5755021
201,"MG Road, Bangalore",12.9741854,77.6124135
202,"Thiruvottiyur, Chennai",13.1722221,80.3045854326791
203,"Greater Kailash Part 2, Delhi",0.0,0.0
204,"Bilekahalli, Bangalore",12.8995934,77.610317336124
205,"Nanganallur, Chennai",12.9801242,80.184902
206,"Rohini, Delhi",28.7162092,77.1170743
207,"Thrikkakara, Ernakulam",0.0,0.0
208,"Manapakkam, Chennai",13.0147531,80.1744935
209,"Bellandur, Bangalore",12.9791198,77.5912997
210,"Ameerpet, Hyderabad",17.4375012,78.4482505
211,"Thiruvallom, Thiruvananthapuram",8.4620423,76.9728103
212,"R.S. Puram, Coimbatore",11.0071376,76.9489287
213,"Kumarapuram, Thiruvananthapuram",0.0,0.0
214,"Palam Colony, Delhi",28.5812691,77.0957546
215,"Manali, Chennai",13.1672275,80.2598107
216,"Valasaravakkam, Chennai",13.0410164,80.1721682
217,"Barkatpura, Hyderabad",17.3926121,78.4969683
218,"Singanallur, Coimbatore",11.0028585,77.0234948
219,"Mulund, Mumbai",19.1722904,72.9564695
220,"Dadar East, Mumbai",19.0238229,72.8394269
221,"Borabanda, Hyderabad",17.45167,78.415421
222,"Model Town 3, Delhi",28.7027391,77.1940059
223,"Ulsoor, Bangalore",12.9778793,77.6246697
224,"Bhayandar West, Mumbai",19.1971521,72.8113662
225,"Hari Nagar, Delhi",28.6296489,77.1119344
226,"Horamavu, Bangalore",13.0273312,77.6601508
227,"Santacruz East, Mumbai",19.0815223,72.8417565
228,"OMR Road, Chennai",12.9564001,80.2436026
229,"Kammana Halli, Bangalore",13.0177719,77.6364403
230,"Tilak Nagar, Delhi",28.63964975,77.0940394634643
231,"Panathur, Bangalore",12.9351457,77.7047541
232,"Rajarajeshwarinagar, Bangalore",0.0,0.0
233,"Paravur, Ernakulam",10.1488387,76.2320334
234,"Preet Vihar, Delhi",28.6377532,77.2951746
235,"Chembur East, Mumbai",19.0460658,72.8954733
236,"Jakkur, Bangalore",13.0784743,77.6068938
237,"Vanasthalipuram, Hyderabad",17.3303179,78.568278
238,"Mandaveli, Chennai",13.0258445,80.2627877
239,"Kumara Park West, Bangalore",12.986668,77.5787881
240,"Domlur, Bangalore",12.9624669,77.6381958
241,"Jeevanbhimanagar, Bangalore",0.0,0.0
242,"Santacruz West, Mumbai",19.084877,72.8349727
243,"Shankar Vihar, Delhi",28.55743865,77.1396654899956
244,"Jogeshwari East, Mumbai",19.1369889,72.8649418
245,"Kasavanahalli, Bangalore",13.2414761,77.5675665
246,"Ambalamukku, Thiruvananthapuram",8.5314989,76.9616906
247,"Jhilmil Colony, Delhi",28.6698142,77.3072827
248,"Dwarka Sector 7, Delhi",28.602684,77.0432335
249,"Tatabad, Coimbatore",11.0194943,76.9572601
250,"Marine Lines, Mumbai",18.9456157,72.8238162
251,"Tolichowki, Hyderabad",17.4002904,78.4118051
252,"Sundarapuram, Coimbatore",0.0,0.0
253,"Kothanur, Bangalore",13.0613601,77.6493895
254,"Chinmaya Nagar, Chennai",13.0622141,80.1991841
255,"Vasant Vihar, Delhi",28.56069055,77.1607907316857
256,"Mehdipatnam, Hyderabad",17.3942627,78.4342514
257,"Kadugodi, Bangalore",12.9985767,77.7609716
258,"Ganapathy, Coimbatore",11.0365596,76.9692573
259,"SR Nagar, Hyderabad",17.4452312,78.4449117
260,"Perambur, Chennai",13.1121242,80.245022
261,"Opera House, Mumbai",18.9563449,72.8155053482702
262,"Selvapuram, Coimbatore",11.172385,76.9213345
263,"Karkardooma, Delhi",28.64931075,77.2962918164588
264,"Alwarthirunagar, Chennai",13.047486,80.1836687
265,"KR Puram, Bangalore",13.007516,77.695935
266,"Ramesh Nagar, Delhi",28.652725,77.1316569
267,"Malakpet, Hyderabad",17.3736706,78.4996484
268,"Tondiarpet, Chennai",13.1277669,80.2895845
269,"Vikrampuri Colony, Hyderabad",17.4555597,78.4992979
270,"Besant Nagar, Chennai",12.9996907,80.2682259
271,"Vasant Kunj, Delhi",28.5292495,77.1541335
272,"Banaswadi, Bangalore",13.0141618,77.6518539
273,"BTM Layout, Bangalore",12.9151772,77.6102821
274,"Medavakkam, Chennai",12.9229928,80.1882897
275,"Vileparle West, Mumbai",0.0,0.0
276,"Sahakaranagar, Bangalore",13.0683625,77.584243
277,"LB Nagar, Hyderabad",17.3501617,78.5510938
278,"Punjagutta, Hyderabad",17.4254934,78.448774
279,"Yamuna Vihar, Delhi",28.700372,77.2727728
280,"Marathahalli, Bangalore",12.9552572,77.6984163
281,"JP Nagar 2 Phase, Bangalore",12.9072515,77.5782713
282,"Rani Bagh, Delhi",28.6859821,77.1325244699161
283,"Jayamahal, Bangalore",12.9988116,77.5975789
284,"Nagpada, Mumbai",18.9681782,72.8286009
285,"Kundalahalli, Bangalore",12.9684441,77.7187843
286,"Kailash Colony, Delhi",28.5530522,77.2429694
287,"Pandav Nagar, Delhi",28.6501272,77.1532783
288,"Karkhana, Hyderabad",17.4732138,78.5115017
289,"West Mambalam, Chennai",13.0427322,80.2270781
290,"Aminjikarai, Chennai",13.0721399,80.2205453
291,"Madipakkam, Chennai",12.9611348,80.2001292
292,"Charkop, Mumbai",19.2141193,72.8258652
293,"Adarsh Nagar, Delhi",28.6141925,77.0715411848447
294,"Dadar, Mumbai",19.0238229,72.8394269
295,"Kaggadasapura, Bangalore",12.9846713,77.6790908
296,"Matunga, Mumbai",19.0274356,72.8501467
297,"Sun city, Hyderabad",17.3638597,78.3975233
298,"Mahadevapura, Bangalore",13.0671165,77.3201264
299,"Kalady, Ernakulam",10.1663271,76.4389818
300,"Anna Nagar West, Chennai",13.0940791,80.1922978
301,"Mayur Vihar Ph-II, Delhi",0.0,0.0
302,"Tis Hazari, Delhi",28.6671318,77.2166245
303,"Vennala, Ernakulam",10.00582,76.31872
304,"Mira Road, Mumbai",18.9159239,72.8197358
305,"Alwal, Hyderabad",17.5022292,78.5088584
306,"Trimulgherry, Hyderabad",17.4746717,78.5069513
307,"Raja Annamalai Puram, Chennai",13.0244783,80.253937
308,"JP Nagar 7 Phase, Bangalore",12.9072515,77.5782713
309,"Old Bowenpally, Hyderabad",17.4719293,78.4924365
310,"Santosh Nagar, Hyderabad",17.3477116,78.5043699
311,"Hope College, Coimbatore",11.0263851,77.0208783
312,"Mulund East, Mumbai",19.1704719,72.9610447
313,"Mount Road, Chennai",13.0218028,80.2261912
314,"Patel Nagar West, Delhi",28.6598088,77.156957
315,"Jayanagar 4 Block, Bangalore",12.9292731,77.5824229
316,"West Marredpally, Hyderabad",17.45121,78.5020964
317,"Jagriti Enclave, Delhi",28.6509986,77.3108573495685
318,"Sarita Vihar, Delhi",28.5334785,77.2935232
